#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:SequenceSimulator" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:SequenceSimulator" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:SequenceSimulator" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:SequenceSimulator" name="distribution" x="@birthRate.t:SequenceSimulator">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:SequenceSimulator" name="distribution">
#            <parameter id="kappa.s:SequenceSimulator" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:SequenceSimulator" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:SequenceSimulator" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SequenceSimulator" id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SequenceSimulator">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:SequenceSimulator" kappa="@kappa.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:SequenceSimulator" id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:SequenceSimulator" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SequenceSimulator" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	gammaShape	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
15000	-28204.75312889722	-28201.571881706244	-3.1812471909760998	-28201.571881706244	0.2033592802729883	0.5095206345065248	4.688144736584866	4.774779677127407	0.8837824594863346	0.24891983413207275	0.25503875040568663	0.25031584043659755	0.245725575025643
16000	-28206.114311237387	-28202.01677590471	-4.097535332675211	-28202.01677590471	0.20227619230201468	-0.4067675071925856	8.404200274371872	4.774779677127407	0.8837824594863346	0.24891983413207275	0.2493012994933859	0.25031584043659755	0.25146302593794373
17000	-28204.813771404515	-28200.55980389787	-4.253967506642281	-28200.55980389787	0.20665736428461606	-0.5631996811596567	8.69836179312294	4.774779677127407	0.8837824594863346	0.24891983413207275	0.2493012994933859	0.25031584043659755	0.25146302593794373
18000	-28204.996328769263	-28201.85946891394	-3.1368598553228906	-28201.85946891394	0.20064800015517797	0.5449329056975549	4.5506325575332705	4.774779677127407	0.8748073950241552	0.24891983413207275	0.2493012994933859	0.25031584043659755	0.25146302593794373
19000	-28204.814062306097	-28201.564781652516	-3.249280653581715	-28201.564781652516	0.21355106716139366	0.43251210743873036	2.7966149133349365	4.774779677127407	0.8748073950241552	0.24891983413207275	0.2493012994933859	0.25031584043659755	0.25146302593794373
20000	-28205.958581168426	-28202.786006234506	-3.1725749339207496	-28202.786006234506	0.2103166382498456	0.5092178270996961	3.591712898082235	4.774779677127407	0.8748073950241552	0.2442939727978792	0.25101419981310075	0.2549417017707911	0.24975012561822887
21000	-28206.30162501311	-28203.09843906665	-3.2031859464606436	-28203.09843906665	0.21248382655412543	0.4786068145598019	3.8622910151998804	4.774779677127407	0.8748073950241552	0.2442939727978792	0.25101419981310075	0.2549417017707911	0.24975012561822887
22000	-28208.80131788304	-28205.613863824037	-3.1874540590032803	-28205.613863824037	0.2189262021692691	0.41261068717281546	2.793750799313925	4.774779677127407	0.7930793801798057	0.2526075624893592	0.24270061012162072	0.2484123442770497	0.2562794831119703
23000	-28206.721823633972	-28203.588513228467	-3.133310405505596	-28203.588513228467	0.20889774268463382	0.5235211207155965	3.5110061740181906	4.774779677127407	0.8498461602249023	0.2526075624893592	0.24270061012162072	0.2484123442770497	0.2562794831119703
24000	-28206.846142285925	-28203.658487630197	-3.187654655730281	-28203.658487630197	0.20751991623833124	0.4691768704909114	2.718192479016829	4.774779677127407	0.8498461602249023	0.2526075624893592	0.24270061012162072	0.2484123442770497	0.2562794831119703
25000	-28207.134094814413	-28203.60364579115	-3.530449023261757	-28203.60364579115	0.21188528193626274	0.1446853915076436	6.0443358785919035	4.839242368957296	0.8498461602249023	0.2526075624893592	0.24270061012162072	0.2484123442770497	0.2562794831119703
26000	-28209.307430471086	-28204.340868004714	-4.9665624663722	-28204.340868004714	0.20631274610601902	-1.2914280516027996	10.923396092220992	4.839242368957296	0.8498461602249023	0.2526075624893592	0.24270061012162072	0.2484123442770497	0.2562794831119703
27000	-28207.58763056361	-28203.72697242038	-3.860658143226882	-28203.72697242038	0.21286812040678343	-0.2122643838883156	7.230997623669969	4.839242368957296	0.8231055047940685	0.2526075624893592	0.24270061012162072	0.2484123442770497	0.2562794831119703
28000	-28207.57693330257	-28204.119598100995	-3.45733520157694	-28204.119598100995	0.2123725858062624	0.2743566380461542	5.492405140273022	4.839242368957296	0.9064035850785964	0.2526075624893592	0.24270061012162072	0.2484123442770497	0.2562794831119703
